pl_name,disc_year,discoverymethod,pl_rade,pl_bmasse,pl_orbper,sy_dist,pl_eqt,st_teff,sy_snum
11 Com b,2007.0,Radial Velocity,,4914.89848585,323.21,93.1846,,4874,2
11 UMi b,2009.0,Radial Velocity,,3337.07,516.22,125.321,,4340,1
14 And b,2008.0,Radial Velocity,,1017.0,,75.4392,,,1
14 Her b,2002.0,Radial Velocity,,2559.47216157,1765.0389,17.9323,,,1
16 Cyg B b,1996.0,Radial Velocity,,565.7374,798.5,21.1397,,5750,3
17 Sco b,2020.0,Radial Velocity,,1373.01871824,578.38,124.953,,4157,1
18 Del b,2008.0,Radial Velocity,,3127.3,,76.222,,,2
1RXS J160929.1-210524 b,2008.0,Imaging,,3000.0,,139.135,1800.0,3993,1
24 Boo b,2018.0,Radial Velocity,,289.2253,30.3506,95.9863,,4893,1
24 Sex b,2010.0,Radial Velocity,,632.46,452.8,72.0691,,5098,1
24 Sex c,2010.0,Radial Velocity,,273.32,883,72.0691,,5098,1
2M0437 b,2021.0,Imaging,,1271.313628,,128.484,1450.0,3100,1
2MASS J01033563-5515561 AB b,2013.0,Imaging,,4131.79,,,,,2
2MASS J01225093-2439505 b,2013.0,Imaging,11.209,,,33.8281,1600.0,3309,1
2MASS J02192210-3925225 b,2015.0,Imaging,16.14096,4417.837,,,,3064,1
2MASS J0249-0557 c,2018.0,Imaging,,3686.8095212,,66.0613,,,2
2MASS J03590986+2009361 b,2024.0,Imaging,0.0,, Mugrauer 2024</a>,20.1599759,,,1
2MASS J04414489+2301513 b,2010.0,Imaging,,2383.6,,,,,1
2MASS J11011926-7732383 b,2024.0,Imaging,0.0,, Mugrauer 2024</a>,-77.5440912,,,1
2MASS J11550485-7919108 b,2024.0,Imaging,0.0,, Mugrauer 2024</a>,-79.3197558,,,1
2MASS J12073346-3932539 b,2004.0,Imaging,,1589.15,,64.308,1250.0,,1
2MASS J19383260+4603591 b,2015.0,Eclipse Timing Variations,,603.877,416,396.332,,,2
2MASS J21252752-8138278 b,2024.0,Imaging,0.0,, Mugrauer 2024</a>,-81.6414894,,,1
2MASS J22362452+4751425 b,2016.0,Imaging,,3972.875,,69.5737,,4045,1
2MASS J22501512+2325342 b,2018.0,Imaging,,9534.85221,,57.2309,1600.0,,1
4 UMa b,2006.0,Radial Velocity,,2511.48007211,270.27,73.4603,,4415,1
47 UMa b,1996.0,Radial Velocity,,778.6835,1076.6,13.7967,,5882,1
47 UMa c,2001.0,Radial Velocity,0.0,, Fischer 2010 </a>,40.4304931,,,1
47 UMa d,2009.0,Radial Velocity,0.0,, Fischer 2010 </a>,40.4304931,,,1
51 Eri b,2015.0,Imaging,,3464.3296363,9100,29.7575,,,3
51 Peg b,1995.0,Radial Velocity,,147.47238085,4.2307969,15.4614,,5760.76,1
55 Cnc B b,2025.0,Radial Velocity,,3.5,6.7994,12.4773,,3286,2
55 Cnc B c,2025.0,Radial Velocity,,5.3,33.747,12.4773,,3286,2
55 Cnc b,1996.0,Radial Velocity,,266.9772,14.653,12.5855,,,2
55 Cnc c,2004.0,Radial Velocity,,56.6,44.3936,12.5855,,5198,2
55 Cnc d,2002.0,Radial Velocity,,918.49,4545,12.5855,,,2
55 Cnc e,2004.0,Radial Velocity,,7.4687,2.79674,12.5855,,5250,2
55 Cnc f,2007.0,Radial Velocity,,45.766,260,12.5855,,5250,2
6 Lyn b,2008.0,Radial Velocity,,597.83523357,919.86,54.6599,,4941,1
61 Vir b,2009.0,Radial Velocity,,5.1,4.215,8.50332,,5577,1
61 Vir c,2009.0,Radial Velocity,,18.2,38.021,8.50332,,5577,1
61 Vir d,2009.0,Radial Velocity,,10.92,123.15,8.50332,,5552,1
7 CMa b,2011.0,Radial Velocity,,587.9855,735.1,19.8101,,4826,1
7 CMa c,2019.0,Radial Velocity,,289.9,,19.8101,,,1
70 Vir b,1996.0,Radial Velocity,,2351.942,116.6926,17.9011,,5439,1
75 Cet b,2012.0,Radial Velocity,,953.49,691.9,82.9613,,4846,2
75 Cet c,2023.0,Radial Velocity,,289.85950718,2051.62,82.9613,,4809,2
8 UMi b,2015.0,Radial Velocity,,524.41687155,93.31,162.552,,4847,1
81 Cet b,2008.0,Radial Velocity,,1274.4,,101.26,,,1
91 Aqr b,2013.0,Radial Velocity,,1017.0,181.4,44.0304,,4665,3
AB Aur b,2022.0,Imaging,,2860.455663,,162.127,,9770,1
AB Pic b,2005.0,Imaging,,4290.5,,50.0475,,,1
AF Lep b,2023.0,Imaging,,1188.67824218,,26.8564,,,1
AT2021ueyL b,2025.0,Microlensing,,425.89006538,4168.69,1040,,3680,1
AU Mic b,2020.0,Transit,,,8.46321,9.7221,,,1
AU Mic c,2021.0,Transit,2.79,,18.858982,9.7221,,,1
AU Mic d,2023.0,Transit Timing Variations,,1.053,12.73596,9.7221,,3678,1
AU Mic e,2025.0,Radial Velocity,,35.2,33.39,9.7221,,3665,1
BD+03 2562 b,2017.0,Radial Velocity,,2034.112,481.9,1070.63,,4095,1
BD+05 4868 A b,2025.0,Transit,,6.2,1.271869,43.5687,1820.0,4596,2
BD+14 4559 b,2009.0,Radial Velocity,,330.5432,268.94,49.352,,4864,1
